Foundations of Biology,BIO101,BIO,The objective of this course is to provide an introduction to the foundations of biology including the chemistry of life,Sriram K,Ph.D. (2004) Chemistry IIT Madras,https://www.iiitd.ac.in/sites/default/files/sriram.jpg,http://techtree.iiitd.edu.in/viewDescription/filename?=BIO101,http://ahammondbiology.weebly.com/uploads/3/7/6/6/37663423/foundations-of-biology.jpg?356,5,200,https://drive.google.com/drive/folders/1Yw9rCDcUivU0hEDiEqNmVtXGIfXUFP8S?usp=sharing,https://drive.google.com/drive/folders/1ysHztDpj5Oh4bf3VLHegHX9EjCMgFNhb?usp=sharing,https://drive.google.com/drive/folders/1lplGbDgbFNsA6x8LBR8Pqtd9IN8jytgw?usp=share_link,https://drive.google.com/drive/folders/1MkW_2cgWKZGzuvWKNVtH6lH3_nJtbgDo?usp=share_link,https://drive.google.com/drive/folders/1IzyU_Gb5N4_gL005HeQPeSK8zyVWeq7P?usp=sharing,https://drive.google.com/drive/folders/1AGgrVEFktA8rOXdAOy6VshzmLPYCeIKa?usp=sharing,https://drive.google.com/drive/folders/1J8dBJA9bwISSMSbNXej1o8V8YA314Flp?usp=share_link,6
Data Structures and Algorithms,CSE102,CSE,This course is aimed at giving students a background in basic data structures and algorithms along with their impact in solving real life problems using a computer.Algorithm analysis using recurrence relations and c) problem solving using C++.,Piyus Kedia,Ph.D. IIT-Delhi,https://www.iiitd.ac.in/sites/default/files/piyuskedia.jpg,http://techtree.iiitd.edu.in/viewDescription/filename?=CSE102,"https://www.educative.io/cdn-cgi/image/f=auto,fit=contain,w=1200/api/page/5323562194829312/image/download/4539157721382912",4,200,https://drive.google.com/drive/folders/1Yw9rCDcUivU0hEDiEqNmVtXGIfXUFP8S?usp=sharing,https://drive.google.com/drive/folders/1ysHztDpj5Oh4bf3VLHegHX9EjCMgFNhb?usp=sharing,https://drive.google.com/drive/folders/1lplGbDgbFNsA6x8LBR8Pqtd9IN8jytgw?usp=share_link,https://drive.google.com/drive/folders/1MkW_2cgWKZGzuvWKNVtH6lH3_nJtbgDo?usp=share_link,https://drive.google.com/drive/folders/1IzyU_Gb5N4_gL005HeQPeSK8zyVWeq7P?usp=sharing,https://drive.google.com/drive/folders/1AGgrVEFktA8rOXdAOy6VshzmLPYCeIKa?usp=sharing,https://drive.google.com/drive/folders/1J8dBJA9bwISSMSbNXej1o8V8YA314Flp?usp=share_link,9
Computer Organisation,CSE112,CSE,This course considers a computer as a stand alone device. It deals with basic computer functionality and how it is realized in software.,Sujay Deb,Ph.D. (2012) Washington State University,https://www.iiitd.ac.in/sites/default/files/sujay.jpg,http://techtree.iiitd.edu.in/viewDescription/filename?=CSE112,https://c1.staticflickr.com/7/6175/6268578327_7172c0d724.jpg,4,200,https://drive.google.com/drive/folders/1Yw9rCDcUivU0hEDiEqNmVtXGIfXUFP8S?usp=sharing,https://drive.google.com/drive/folders/1ysHztDpj5Oh4bf3VLHegHX9EjCMgFNhb?usp=sharing,https://drive.google.com/drive/folders/1lplGbDgbFNsA6x8LBR8Pqtd9IN8jytgw?usp=share_link,https://drive.google.com/drive/folders/1MkW_2cgWKZGzuvWKNVtH6lH3_nJtbgDo?usp=share_link,https://drive.google.com/drive/folders/1IzyU_Gb5N4_gL005HeQPeSK8zyVWeq7P?usp=sharing,https://drive.google.com/drive/folders/1AGgrVEFktA8rOXdAOy6VshzmLPYCeIKa?usp=sharing,https://drive.google.com/drive/folders/1J8dBJA9bwISSMSbNXej1o8V8YA314Flp?usp=share_link,10
Introduction to Intelligent Systems,CSE140,CSE,The development of AI systems is becoming increasingly important in Computer Science. ,Jainendra Shukla,PhD (2018) Universitat Rovira i Virgili (URV) Spain,https://www.iiitd.ac.in/sites/default/files/Jainendra.jpg,http://techtree.iiitd.edu.in/viewDescription/filename?=CSE140,"https://m.media-amazon.com/images/I/41I4zXsoUUL._SX198_BO1,204,203,200_QL40_FMwebp_.jpg",5,200,https://drive.google.com/drive/folders/1Yw9rCDcUivU0hEDiEqNmVtXGIfXUFP8S?usp=sharing,https://drive.google.com/drive/folders/1ysHztDpj5Oh4bf3VLHegHX9EjCMgFNhb?usp=sharing,https://drive.google.com/drive/folders/1lplGbDgbFNsA6x8LBR8Pqtd9IN8jytgw?usp=share_link,https://drive.google.com/drive/folders/1MkW_2cgWKZGzuvWKNVtH6lH3_nJtbgDo?usp=share_link,https://drive.google.com/drive/folders/1IzyU_Gb5N4_gL005HeQPeSK8zyVWeq7P?usp=sharing,https://drive.google.com/drive/folders/1AGgrVEFktA8rOXdAOy6VshzmLPYCeIKa?usp=sharing,https://drive.google.com/drive/folders/1J8dBJA9bwISSMSbNXej1o8V8YA314Flp?usp=share_link,7
Design Drawing and Visualization,DES101,DES,Based on the premise that drawing is central to the design process this course focuses on drawing as a medium for observing representing conceptualizing visualizing and communicating design ideas,Anoop Ratn,MFA Teerthanker Mahaveer University,https://iiitd.ac.in/sites/default/files/images/faculty/anoopr.jpg,http://techtree.iiitd.edu.in/viewDescription/filename?=DES101,https://s3.amazonaws.com/thinkific/file_uploads/26105/images/860/1e2/acc/Class_notes.jpg,4,200,https://drive.google.com/drive/folders/1Yw9rCDcUivU0hEDiEqNmVtXGIfXUFP8S?usp=sharing,https://drive.google.com/drive/folders/1ysHztDpj5Oh4bf3VLHegHX9EjCMgFNhb?usp=sharing,https://drive.google.com/drive/folders/1lplGbDgbFNsA6x8LBR8Pqtd9IN8jytgw?usp=share_link,https://drive.google.com/drive/folders/1MkW_2cgWKZGzuvWKNVtH6lH3_nJtbgDo?usp=share_link,https://drive.google.com/drive/folders/1IzyU_Gb5N4_gL005HeQPeSK8zyVWeq7P?usp=sharing,https://drive.google.com/drive/folders/1AGgrVEFktA8rOXdAOy6VshzmLPYCeIKa?usp=sharing,https://drive.google.com/drive/folders/1J8dBJA9bwISSMSbNXej1o8V8YA314Flp?usp=share_link,6
Visual Design & Communication,DES202,DES,Based on the premise that Visual Design is a discipline of design that applies the principles of visual language for better analysis and understanding of design problem and solution.,Anoop Ratn,MFA Teerthanker Mahaveer University,https://iiitd.ac.in/sites/default/files/images/faculty/anoopr.jpg,http://techtree.iiitd.edu.in/viewDescription/filename?=DES202,https://www.iiad.edu.in/wp-content/uploads/2021/12/blog-detail.jpg,4,200,https://drive.google.com/drive/folders/1Yw9rCDcUivU0hEDiEqNmVtXGIfXUFP8S?usp=sharing,https://drive.google.com/drive/folders/1ysHztDpj5Oh4bf3VLHegHX9EjCMgFNhb?usp=sharing,https://drive.google.com/drive/folders/1lplGbDgbFNsA6x8LBR8Pqtd9IN8jytgw?usp=share_link,https://drive.google.com/drive/folders/1MkW_2cgWKZGzuvWKNVtH6lH3_nJtbgDo?usp=share_link,https://drive.google.com/drive/folders/1IzyU_Gb5N4_gL005HeQPeSK8zyVWeq7P?usp=sharing,https://drive.google.com/drive/folders/1AGgrVEFktA8rOXdAOy6VshzmLPYCeIKa?usp=sharing,https://drive.google.com/drive/folders/1J8dBJA9bwISSMSbNXej1o8V8YA314Flp?usp=share_link,8
Basic Electronics,ECE113,ECE,The course introduces the topics of,Ram Krishna Ghosh,Ph.D. (2013) Indian Institute of Science Bangalore,https://www.iiitd.ac.in/sites/default/files/rkghosh.jpg,http://techtree.iiitd.edu.in/viewDescription/filename?=ECE113,https://play-lh.googleusercontent.com/b1Di_HSQSoC1NU9ej2j1iD_X-PMmvh0THIO189ljM7rFL_1hKaiLdOA6Bg65VxUnfqU=w526-h296,3,200,https://drive.google.com/drive/folders/1Yw9rCDcUivU0hEDiEqNmVtXGIfXUFP8S?usp=sharing,https://drive.google.com/drive/folders/1ysHztDpj5Oh4bf3VLHegHX9EjCMgFNhb?usp=sharing,https://drive.google.com/drive/folders/1lplGbDgbFNsA6x8LBR8Pqtd9IN8jytgw?usp=share_link,https://drive.google.com/drive/folders/1MkW_2cgWKZGzuvWKNVtH6lH3_nJtbgDo?usp=share_link,https://drive.google.com/drive/folders/1IzyU_Gb5N4_gL005HeQPeSK8zyVWeq7P?usp=sharing,https://drive.google.com/drive/folders/1AGgrVEFktA8rOXdAOy6VshzmLPYCeIKa?usp=sharing,https://drive.google.com/drive/folders/1J8dBJA9bwISSMSbNXej1o8V8YA314Flp?usp=share_link,10
Probability and Statistics,MTH201,MTH,The course introduces students to probability theory and how it can be applied to statistical problems.,Sanjit Kaul,PhD (2011) Electrical and Computer Engineering Rutgers University USA,https://www.iiitd.ac.in/sites/default/files/sanjit.jpg,http://techtree.iiitd.edu.in/viewDescription/filename?=MTH201,https://www.analyticssteps.com/backend/media/thumbnail/5566054/4417030_1594110697_probability.jpg,4,200,https://drive.google.com/drive/folders/1Yw9rCDcUivU0hEDiEqNmVtXGIfXUFP8S?usp=sharing,https://drive.google.com/drive/folders/1ysHztDpj5Oh4bf3VLHegHX9EjCMgFNhb?usp=sharing,https://drive.google.com/drive/folders/1lplGbDgbFNsA6x8LBR8Pqtd9IN8jytgw?usp=share_link,https://drive.google.com/drive/folders/1MkW_2cgWKZGzuvWKNVtH6lH3_nJtbgDo?usp=share_link,https://drive.google.com/drive/folders/1IzyU_Gb5N4_gL005HeQPeSK8zyVWeq7P?usp=sharing,https://drive.google.com/drive/folders/1AGgrVEFktA8rOXdAOy6VshzmLPYCeIKa?usp=sharing,https://drive.google.com/drive/folders/1J8dBJA9bwISSMSbNXej1o8V8YA314Flp?usp=share_link,6
Introduction to Sociology and Anthropology,SOC101,SOC,This course will introduce learners to the basic nature of society and its impact on an individual through the lens of Sociology and Anthropology.,Paro Mishra,PhD (2017) IIT-Delhi,https://www.iiitd.ac.in/sites/default/files/paro.jpg,http://techtree.iiitd.edu.in/viewDescription/filename?=SOC101,https://d3gy99intf9w7w.cloudfront.net/788-large_default/introduction-to-sociology-and-anthropology.jpg,3,200,https://drive.google.com/drive/folders/1Yw9rCDcUivU0hEDiEqNmVtXGIfXUFP8S?usp=sharing,https://drive.google.com/drive/folders/1ysHztDpj5Oh4bf3VLHegHX9EjCMgFNhb?usp=sharing,https://drive.google.com/drive/folders/1lplGbDgbFNsA6x8LBR8Pqtd9IN8jytgw?usp=share_link,https://drive.google.com/drive/folders/1MkW_2cgWKZGzuvWKNVtH6lH3_nJtbgDo?usp=share_link,https://drive.google.com/drive/folders/1IzyU_Gb5N4_gL005HeQPeSK8zyVWeq7P?usp=sharing,https://drive.google.com/drive/folders/1AGgrVEFktA8rOXdAOy6VshzmLPYCeIKa?usp=sharing,https://drive.google.com/drive/folders/1J8dBJA9bwISSMSbNXej1o8V8YA314Flp?usp=share_link,9
Introduction to Quantitative Biology,BIO213,BIO,This course will discuss some fundamental aspects of ecological evolutionary genetics and epidemic models as studied by quantitative approaches.,Jaspreet Kaur,PhD (2019) IIT-Delhi,https://www.iiitd.ac.in/sites/default/files/jaspreet.jpg,http://techtree.iiitd.edu.in/viewDescription/filename?=BIO213,https://pll.harvard.edu/sites/default/files/styles/header/public/course/image1.jpg?itok=t56MWqb2,4,200,https://drive.google.com/drive/folders/1Yw9rCDcUivU0hEDiEqNmVtXGIfXUFP8S?usp=sharing,https://drive.google.com/drive/folders/1ysHztDpj5Oh4bf3VLHegHX9EjCMgFNhb?usp=sharing,https://drive.google.com/drive/folders/1lplGbDgbFNsA6x8LBR8Pqtd9IN8jytgw?usp=share_link,https://drive.google.com/drive/folders/1MkW_2cgWKZGzuvWKNVtH6lH3_nJtbgDo?usp=share_link,https://drive.google.com/drive/folders/1IzyU_Gb5N4_gL005HeQPeSK8zyVWeq7P?usp=sharing,https://drive.google.com/drive/folders/1AGgrVEFktA8rOXdAOy6VshzmLPYCeIKa?usp=sharing,https://drive.google.com/drive/folders/1J8dBJA9bwISSMSbNXej1o8V8YA314Flp?usp=share_link,8
